raw_affiliation_string;openalex_work_id;openalex_country;openalex_display_name;matched_country
Interventional Neuroradiology Department, Erasme University Hospital, Brussels, Belgium.;https://openalex.org/W3152540944;;Interventional Neuroradiology Department, Erasme University Hospital, Brussels, Belgium.;BE
Department of Interventional Neuroradiology, 70496Erasme University Hospital, Belgium.;https://openalex.org/W3199489085;;Department of Interventional Neuroradiology, 70496Erasme University Hospital, Belgium.;BE
IRD, UMR GRED, 911, Avenue Agropolis, BP 64501, 34394 Montpellier Cedex 5, France;https://openalex.org/W1498579655;;IRD, UMR GRED, 911, Avenue Agropolis, BP 64501, 34394 Montpellier Cedex 5, France;FR
University of California [San Diego];https://openalex.org/W4225696743;;University of California [San Diego];US
Sateba,Tour Europe,33 places des Corolles,Courbevoie 92400, France;https://openalex.org/W2804667091;;Sateba,Tour Europe,33 places des Corolles,Courbevoie 92400, France;FR
Sateba, Consolis Group, 92400, Courbevoie, France;https://openalex.org/W3083909944;;Sateba, Consolis Group, 92400, Courbevoie, France;FR
SATEBA, Courbevoie, France;https://openalex.org/W3030648785;;SATEBA, Courbevoie, France;FR
Assistant Professor, Faculty of Sociology, Catholic University of Peru PhD Joint Fellow Université catholique de Louvain and the École des hautes études en sciences sociales of Paris;https://openalex.org/W2028403786;;Assistant Professor, Faculty of Sociology, Catholic University of Peru PhD Joint Fellow Université catholique de Louvain and the École des hautes études en sciences sociales of Paris;PE
Centre d’Etudes Sociologiques et Politiques Raymond Aron, Paris, France;https://openalex.org/W157827067;;Centre d’Etudes Sociologiques et Politiques Raymond Aron, Paris, France;FR
Université Lumière - Lyon 2 - UFR Anthropologie, Sociologie et Science politique;https://openalex.org/W3207514566;;Université Lumière - Lyon 2 - UFR Anthropologie, Sociologie et Science politique;FR
Phnom Penh, Cambodia;https://openalex.org/W81667926;;Phnom Penh, Cambodia;KH
Université de Toulouse Jean Jaurès, FRAMESPA and Ecole des Hautes Etudes en Sciences sociales, Centre de Recherches historiques;https://openalex.org/W3035161289;;Université de Toulouse Jean Jaurès, FRAMESPA and Ecole des Hautes Etudes en Sciences sociales, Centre de Recherches historiques;FR
Ecole des hautes études en sciences sociales, EHESS Iris, 190-198 avenue de France, 75244 Paris cedex 13, France.;https://openalex.org/W2426673734;;Ecole des hautes études en sciences sociales, EHESS Iris, 190-198 avenue de France, 75244 Paris cedex 13, France.;FR
Observatorio de la Alimentación (ODELA)- Universidad de Barcelona (UB), Institut d’Antropologia de les Illes (IAI);https://openalex.org/W3120736924;;Observatorio de la Alimentación (ODELA)- Universidad de Barcelona (UB), Institut d’Antropologia de les Illes (IAI);ES
New Caledonian Institute of Agronomy, TerAU research unit, 98825 Pouembout, New Caledonia, France;https://openalex.org/W3201161198;;New Caledonian Institute of Agronomy, TerAU research unit, 98825 Pouembout, New Caledonia, France;"FR;NC"
Mitsubishi Electric Research Laboratories,Cambridge,MA,USA,02139;https://openalex.org/W3184199200;;Mitsubishi Electric Research Laboratories,Cambridge,MA,USA,02139;US
PhD student, Ecole des Hautes Etudes en Sciences Sociales (Paris) (Onassis Public Benefit Foundation Scholarship). Email:;https://openalex.org/W2135734347;;PhD student, Ecole des Hautes Etudes en Sciences Sociales (Paris) (Onassis Public Benefit Foundation Scholarship). Email:;FR
K. Koufa Foundation for the Promotion of International and Human Rights Law, École des Hautes Études en Sciences Sociales, Paris, France;https://openalex.org/W2743728702;;K. Koufa Foundation for the Promotion of International and Human Rights Law, École des Hautes Études en Sciences Sociales, Paris, France;FR
Northwestern University, CIRAD, Montpellier, France;https://openalex.org/W2800723365;;Northwestern University, CIRAD, Montpellier, France;FR
Professeure-chercheuse, UMI, ENS de Meknès, Laboratoire SLALEC, Maroc.;https://openalex.org/W3134272506;;Professeure-chercheuse, UMI, ENS de Meknès, Laboratoire SLALEC, Maroc.;MA
Lyon 2 University (France)#R##N#Montpellier University (France);https://openalex.org/W1503547775;;Lyon 2 University (France)#R##N#Montpellier University (France);FR
Centre d'Études Juridiques et Politiques - EA 3170;https://openalex.org/W2768254288;;Centre d'Études Juridiques et Politiques - EA 3170;FR
Centre Pluridisciplinaire Textes et Cultures [Dijon];https://openalex.org/W2996448366;;Centre Pluridisciplinaire Textes et Cultures [Dijon];FR
University of Paris;https://openalex.org/W1995842041;;University of Paris;FR
Centre d'économie de l'Université Paris Nord;https://openalex.org/W2954271642;;Centre d'économie de l'Université Paris Nord;FR
Department of Horticulture, Higher agronomic Institute of Chott Mariem, Chott Mariem, Tunisia;https://openalex.org/W2909409951;;Institut Supérieur Agronomique de Chott-Mariem;TN
Chercheuse associée au laboratoire CREDA-UMR 7227, alicia.rinaldy@gmail.com;https://openalex.org/W3086333506;;Chercheuse associée au laboratoire CREDA-UMR 7227, alicia.rinaldy@gmail.com;FR
Centre de Recherche sur les Cultures et Littératures Européennes : France, Europe centrale, Europe orientale;https://openalex.org/W2169816462;;Centre de Recherche sur les Cultures et Littératures Européennes : France, Europe centrale, Europe orientale;FR
Novartis Pharmaceuticals Corporation East Hanover NJ USA.;https://openalex.org/W2900019529;;Novartis Pharmaceuticals Corporation East Hanover NJ USA.;US
SSR Val Rosay, Saint-Didier au Mont D’or, France;https://openalex.org/W4200561892;;SSR Val Rosay, Saint-Didier au Mont D’or, France;FR
Maître de conférences en droit public Faculté de droit, économie, administration de Metz – Université de Lorraine;https://openalex.org/W2976167463;;Maître de conférences en droit public Faculté de droit, économie, administration de Metz – Université de Lorraine;FR
Centre de Recherche Français à Jérusalem, Jerusalem, Israel;https://openalex.org/W2914658403;;Centre de Recherche Français à Jérusalem, Jerusalem, Israel;IL
Université Sorbonne Paris Nord;https://openalex.org/W4286682999;;Université Sorbonne Paris Nord;US
UJM Saint-Etienne, Saint-Etienne, France;https://openalex.org/W2743053061;;UJM Saint-Etienne, Saint-Etienne, France;FR
Univ Lyon, UJM Saint- Étienne, Saint Étienne, France;https://openalex.org/W2420679026;;Univ Lyon, UJM Saint- Étienne, Saint Étienne, France;FR
Terex Cranes France;https://openalex.org/W2736037658;;Terex Cranes France;FR
MicrodB, F-69134 Ecully, France;https://openalex.org/W2914384479;;MicrodB, F-69134 Ecully, France;FR
MicrodB, F-69134 Ecully, France.;https://openalex.org/W2997127283;;MicrodB, F-69134 Ecully, France.;FR
MicrodB, 28 Chemin du Petit Bois, 69131 Ecully, France.;https://openalex.org/W2746312627;;MicrodB, 28 Chemin du Petit Bois, 69131 Ecully, France.;FR
MicrodB, 28 Chemin du Petit Bois, Ecully, France;https://openalex.org/W2954145571;;MicrodB, 28 Chemin du Petit Bois, Ecully, France;FR
Physique & Mécanique des Milieux Hétérogènes, UMR 7636 du CNRS, ESPCI, PSL Research University, 75005 Paris, France and LadHyX, UMR 7646 du CNRS, École Polytechnique, 91128 Palaiseau, France;https://openalex.org/W2897231903;;Physique & Mécanique des Milieux Hétérogènes, UMR 7636 du CNRS, ESPCI, PSL Research University, 75005 Paris, France and LadHyX, UMR 7646 du CNRS, École Polytechnique, 91128 Palaiseau, France;FR
Department of Mechanical and Aerospace Engineering Princeton University;https://openalex.org/W3037501760;;Department of Mechanical and Aerospace Engineering Princeton University;US
Hatsopoulos Microfluids Laboratory, Department of Mechanical Engineering, MIT, 77 Massachusetts Avenue, Cambridge, Massachusetts 02139, USA;https://openalex.org/W4285796203;;Hatsopoulos Microfluids Laboratory, Department of Mechanical Engineering, MIT, 77 Massachusetts Avenue, Cambridge, Massachusetts 02139, USA;US
National Council for Scientific Research CNRS, Lebanese Atomic Energy Commission LAEC;https://openalex.org/W2074342284;;National Council for Scientific Research CNRS, Lebanese Atomic Energy Commission LAEC;"CA;LB"
DAAA, ONERA, The French Aerospace Lab, 92190 Meudon, France;https://openalex.org/W2767360972;;DAAA, ONERA, The French Aerospace Lab, 92190 Meudon, France;FR
ONERA – The French Aerospace Lab;https://openalex.org/W2790363647;;ONERA – The French Aerospace Lab;FR
Univesity of Toulouse, ISAE/DISC & TeSA;https://openalex.org/W2533881627;;Univesity of Toulouse, ISAE/DISC & TeSA;FR
TéSA Laboratory, Toulouse, France;https://openalex.org/W2948996066;;TéSA Laboratory, Toulouse, France;FR
ONERA–The French Aerospace Lab, 31410 Mauzac, France;https://openalex.org/W2413814545;;ONERA–The French Aerospace Lab, 31410 Mauzac, France;FR
ONERA - The French Aerospace Lab [Mauzac];https://openalex.org/W2522078431;;ONERA - The French Aerospace Lab [Mauzac];FR
ONERA - The French Aerospace Lab [Toulouse];https://openalex.org/W2969624586;;ONERA - The French Aerospace Lab [Toulouse];FR
University of Lyon, INSA-Lyon, CNRS UMR5259, LaMCoS, F-69621, France;https://openalex.org/W2547306300;;University of Lyon, INSA-Lyon, CNRS UMR5259, LaMCoS, F-69621, France;FR
Sorbonne Paris Cité, Université Paris 13, EA2363 Hypoxie et Poumon, Bobigny, France.;https://openalex.org/W2811020650;;Sorbonne Paris Cité, Université Paris 13, EA2363 Hypoxie et Poumon, Bobigny, France.;FR
Université Paris 13, Sorbonne Paris Cité, UFR SMBH, Laboratoire Hypoxie et poumons, EA 2363, 93017 Bobigny, France;https://openalex.org/W2605184318;;Université Paris 13, Sorbonne Paris Cité, UFR SMBH, Laboratoire Hypoxie et poumons, EA 2363, 93017 Bobigny, France;FR
Laboratoire hypoxie & poumon, EA2363, université Paris 13, Sorbonne Paris Cite, Bobigny, France;https://openalex.org/W2790465886;;Laboratoire hypoxie & poumon, EA2363, université Paris 13, Sorbonne Paris Cite, Bobigny, France;FR
iMean, Toulouse, France.;https://openalex.org/W3195708698;;iMean, Toulouse, France.;FR
Center of Physiopathology Toulouse Purpan, University Paul Sabatier Toulouse III, INSERM U1043, CNRS UMR 5282, Toulouse, France.;https://openalex.org/W2767920365;;Center of Physiopathology Toulouse Purpan, University Paul Sabatier Toulouse III, INSERM U1043, CNRS UMR 5282, Toulouse, France.;FR
Otsuka Novel Products GmbH, Munich, Germany.;https://openalex.org/W2741014382;;Otsuka Novel Products GmbH, Munich, Germany.;DE
Otsuka Novel Products GmbH, Munich, Germany;https://openalex.org/W3109470797;;Otsuka Novel Products GmbH, Munich, Germany;DE
Safran Tech, Magny-Les-Hameaux, France;https://openalex.org/W2748361538;;Safran Tech, Magny-Les-Hameaux, France;FR
Safran Tech, Chateaufort, France;https://openalex.org/W2888921699;;Safran Tech, Chateaufort, France;FR
Interuniversity Research Centre on Enterprise Networks, Logistics, and Transportation, Department of Civil, Geological, and Mining Engineering, Polytechnique Montreal, C.P. 6079, Station Centre-Ville, Montreal, Quebec H3C 3A7, Canada.;https://openalex.org/W2128947491;;Interuniversity Research Centre on Enterprise Networks, Logistics, and Transportation, Department of Civil, Geological, and Mining Engineering, Polytechnique Montreal, C.P. 6079, Station Centre-Ville, Montreal, Quebec H3C 3A7, Canada.;CA
Univ. Grenoble Alpes, CEA, LITEN, DTBH, F-38000 Grenoble, France.;https://openalex.org/W3043393067;;Univ. Grenoble Alpes, CEA, LITEN, DTBH, F-38000 Grenoble, France.;FR
Univ Lyon, CNRS, INSA-Lyon, Université Claude Bernard Lyon 1, CETHIL, UMR5008, F-69621, Villeurbanne, France;https://openalex.org/W2768188011;;Univ Lyon, CNRS, INSA-Lyon, Université Claude Bernard Lyon 1, CETHIL, UMR5008, F-69621, Villeurbanne, France;FR
ACOUPHEN, Pusignan, France;https://openalex.org/W3156131703;;ACOUPHEN, Pusignan, France;FR
Institut du Fer à Moulin, bâtiment Inserm, 8-10, rue des Fossés-Saint-Marcel, 75005 Paris, France - Inserm, UMR-S 839, 75005 Paris, France - Université Pierre et Marie Curie, 75005 Paris, France.;https://openalex.org/W1598983441;;Institut du Fer à Moulin, bâtiment Inserm, 8-10, rue des Fossés-Saint-Marcel, 75005 Paris, France - Inserm, UMR-S 839, 75005 Paris, France - Université Pierre et Marie Curie, 75005 Paris, France.;FR
Lab. CEISAM, Fac. Sci. Tech., CNRS, Univ. Nantes, F-44322 Nantes, Fr.;https://openalex.org/W2949306899;;Lab. CEISAM, Fac. Sci. Tech., CNRS, Univ. Nantes, F-44322 Nantes, Fr.;FR
INSA‐Lyon, CNRS UMR5259, LaMCoS University of Lyon Lyon F‐69621 France;https://openalex.org/W2808902610;;INSA‐Lyon, CNRS UMR5259, LaMCoS University of Lyon Lyon F‐69621 France;FR
IMT;https://openalex.org/W2803298441;;IMT;FR
Sogeti (FRANCE);https://openalex.org/W2608448549;;Sogeti (FRANCE);FR
Synth. Physicochim. Mol. Interet Biol., CNRS, Univ. Paul Sabatier, F‐31062 Toulouse, Fr.;https://openalex.org/W2086985983;;Synth. Physicochim. Mol. Interet Biol., CNRS, Univ. Paul Sabatier, F‐31062 Toulouse, Fr.;FR
Laboratoire de Génie Chimique Université de Toulouse, CNRS, INP, UPS Toulouse France;https://openalex.org/W2915599865;;Laboratoire de Génie Chimique Université de Toulouse, CNRS, INP, UPS Toulouse France;FR
More Electric Aircraft dpt. IRT Saint Exupery,Toulouse,France;https://openalex.org/W3047830663;;More Electric Aircraft dpt. IRT Saint Exupery,Toulouse,France;FR
More Electric Aircraft dpt., IRT Saint Exupery,Toulouse,France;https://openalex.org/W3047801394;;More Electric Aircraft dpt., IRT Saint Exupery,Toulouse,France;FR
IRT Saint Exupéry, Toulouse, France;https://openalex.org/W2892401964;;IRT Saint Exupéry, Toulouse, France;FR
IRT Saint Exupéry,CS34436, 3 Rue Tarfaya,Toulouse,France,31400;https://openalex.org/W3128070415;;IRT Saint Exupéry,CS34436, 3 Rue Tarfaya,Toulouse,France,31400;FR
More Electrical Aircraft, IRT Saint Exupéry, Toulouse, France;https://openalex.org/W2967374573;;More Electrical Aircraft, IRT Saint Exupéry, Toulouse, France;FR
IRT Saint-Exupéry, 118 route de Narbonne, CS 44248, 31432 Toulouse cedex 4, France;https://openalex.org/W2967032899;;IRT Saint-Exupéry, 118 route de Narbonne, CS 44248, 31432 Toulouse cedex 4, France;FR
IRT Saint Exupéry Toulouse,France;https://openalex.org/W3127521190;;Airbus Operations S.A.S.;FR
IRT Saint Exupéry, France;https://openalex.org/W4212830906;;IRT Saint Exupéry, France;FR
Bayer CropScience, Sophia Antipolis, France.;https://openalex.org/W4311578050;;Bayer CropScience, Sophia Antipolis, France.;FR
CEISIC, The Royal Institute of Amazigh Culture, Morocco;https://openalex.org/W3188418914;;CEISIC, The Royal Institute of Amazigh Culture, Morocco;MA
Laboratoire d́Analyse Nonlinéaire et Mathématiques Appliquées, Département de Mathématiques, Université de Tlemcen, Algeria;https://openalex.org/W3046651804;;Laboratoire d́Analyse Nonlinéaire et Mathématiques Appliquées, Département de Mathématiques, Université de Tlemcen, Algeria;DZ
Laboratoire Evolution et Diversité Biologique,UMR5174, PRES-Université de Toulouse, Institut National Universitaire Champollion, Albi, France;https://openalex.org/W3039954252;;Laboratoire Evolution et Diversité Biologique,UMR5174, PRES-Université de Toulouse, Institut National Universitaire Champollion, Albi, France;FR
Radio-Fréquences Microondes et Ondes Millimétriques;https://openalex.org/W3024305217;;Radio-Fréquences Microondes et Ondes Millimétriques;FR
†Service des Urgences,Hotel-Dieu,Assistance Publique des Hôpitaux de Paris,Paris.;https://openalex.org/W2056536951;;†Service des Urgences,Hotel-Dieu,Assistance Publique des Hôpitaux de Paris,Paris.;FR
Institute of Mathematics of Toulouse, Université Paul Sabatier, Toulouse, France.;https://openalex.org/W2964317164;;Institute of Mathematics of Toulouse, Université Paul Sabatier, Toulouse, France.;FR
Institut de Mathématiques de Toulouse (UMR5219);https://openalex.org/W2810015037;;Institut de Mathématiques de Toulouse;FR
Phasics Company, Bâtiment Explorer, Espace Technologique, Route de l’Orme des Merisiers, St. Aubin, 91190, France;https://openalex.org/W3045608137;;Phasics Company, Bâtiment Explorer, Espace Technologique, Route de l’Orme des Merisiers, St. Aubin, 91190, France;FR
Phasics S.A., Espace technologique de Saint Aubin, Route de l’Orme des Merisiers, 91190 Saint Aubin, France;https://openalex.org/W3109504541;;Phasics S.A., Espace technologique de Saint Aubin, Route de l’Orme des Merisiers, 91190 Saint Aubin, France;FR
PHASICS S.A. (France);https://openalex.org/W3134095922;;PHASICS S.A. (France);FR
Nokia Bell Labs, 70435 Stuttgart, Germany;https://openalex.org/W2583246406;;Nokia Bell Labs, 70435 Stuttgart, Germany;DE
CEA, LIST, Communicating Systems Laboratory, BC 94, Gif Sur Yvette, F91191 - France;https://openalex.org/W2074263772;;CEA, LIST, Communicating Systems Laboratory, BC 94, Gif Sur Yvette, F91191 - France;FR
Trajectoires - UMR 8215;https://openalex.org/W2563591012;;Trajectoires - UMR 8215;FR
LIRMM, UMR CNRS/Univ. Montpellier, (C5506), 161 rue Ada, 34095, France;https://openalex.org/W1607314904;;LIRMM, UMR CNRS/Univ. Montpellier, (C5506), 161 rue Ada, 34095, France;FR
LIRMM, UMR CNRS/Univ. Montpellier, (C5506), 161 rue Ada, 34095 Montpellier, France;https://openalex.org/W2342813535;;LIRMM, UMR CNRS/Univ. Montpellier, (C5506), 161 rue Ada, 34095 Montpellier, France;FR
[UMR CNRS/Univ. Montpellier, LIRMM, 161 rue Ada, Montpellier, 34095, France];https://openalex.org/W2891791920;;[UMR CNRS/Univ. Montpellier, LIRMM, 161 rue Ada, Montpellier, 34095, France];FR
Non-Clinical Safety, Biologie Servier, Gidy, France.;https://openalex.org/W3191515338;;Non-Clinical Safety, Biologie Servier, Gidy, France.;FR
UMI3218/RL Tsukuba Central 1, Tsukuba, Ibaraki, JAPAN;https://openalex.org/W2516753435;;UMI3218/RL Tsukuba Central 1, Tsukuba, Ibaraki, JAPAN;JP
CNRS-AIST Joint Robotics Laboratory, Japan;https://openalex.org/W1897579901;;CNRS-AIST Joint Robotics Laboratory, Japan;JP
Interactive Digital Humans Group, Montpellier Laboratory of Informatics, Robotics, and Microelectronics, UMR5506, CNRS–University of Montpellier, 34090 Montpellier, France;https://openalex.org/W2765502067;;Interactive Digital Humans Group, Montpellier Laboratory of Informatics, Robotics, and Microelectronics, UMR5506, CNRS–University of Montpellier, 34090 Montpellier, France;FR
CNRS-AIST Joint Robotics Laboratory, UMI3218/RL, Tsukuba, Japan;https://openalex.org/W2524918958;;CNRS-AIST Joint Robotics Laboratory, UMI3218/RL, Tsukuba, Japan;JP
Joint Robotics Laboratory [Japan];https://openalex.org/W2529041744;;Joint Robotics Laboratory [Japan];JP
LMGC, Univ. Montpellier, CNRS, Montpellier, France;https://openalex.org/W2898340354;;LMGC, Univ. Montpellier, CNRS, Montpellier, France;FR
Laboratoire Électronique Ondes et Signaux pour les Transports;https://openalex.org/W3042512591;;Laboratoire Électronique Ondes et Signaux pour les Transports;FR
She is now with Montpellier Laboratory of Informatics, Robotics and Microelectronics, Université Montpellier 2, Montpellier, France;https://openalex.org/W1970733794;;She is now with Montpellier Laboratory of Informatics, Robotics and Microelectronics, Université Montpellier 2, Montpellier, France;FR
LIRMM – CNRS;https://openalex.org/W2487289850;;LIRMM – CNRS;FR
McGovern Medical School, University of Texas Health Science Center Houston, Houston, TX, USA.;https://openalex.org/W2739174501;;McGovern Medical School, University of Texas Health Science Center Houston, Houston, TX, USA.;US
Sorbonne Universités, Paris, France;https://openalex.org/W2742334864;;Sorbonne Universités, Paris, France;FR
Centre Microlectronique de Provence - Georges Charpak, ENSM.SE, Gardanne, France;https://openalex.org/W2050199021;;Centre Microlectronique de Provence - Georges Charpak, ENSM.SE, Gardanne, France;FR
ENSM.SE, Centre Microlectronique de Provence - Georges Charpak, 13541 Gardanne, France;https://openalex.org/W2147479579;;ENSM.SE, Centre Microlectronique de Provence - Georges Charpak, 13541 Gardanne, France;FR
Univ Lyon, UJM-Saint-Etienne, CNRS, IOGS, LabHC UMR 5516, F-42023, SAINT-ETIENNE, France;https://openalex.org/W2781376492;;Univ Lyon, UJM-Saint-Etienne, CNRS, IOGS, LabHC UMR 5516, F-42023, SAINT-ETIENNE, France;FR
CNRS-UM LIRMM, Interactive Digital Human group, Montpellier, France;https://openalex.org/W2278326935;;CNRS-UM LIRMM, Interactive Digital Human group, Montpellier, France;FR
CNRS-UM2 LIRMM Interactive Digital Humans, UMR5600, Montpellier, France;https://openalex.org/W2199196473;;CNRS-UM2 LIRMM Interactive Digital Humans, UMR5600, Montpellier, France;FR
Eidgenössische Technische Hochschule - Swiss Federal Institute of Technology  [Zürich];https://openalex.org/W2904507457;;Eidgenössische Technische Hochschule - Swiss Federal Institute of Technology  [Zürich];CH
MEGGITT (Sensorex) Archamps, France;https://openalex.org/W2576889542;;MEGGITT (Sensorex) Archamps, France;FR
MEGGITT (Sensorex) Archamps Technopole, 196, rue Louis Rustin, 74160 Archamps, France;https://openalex.org/W2248159768;;MEGGITT (Sensorex) Archamps Technopole, 196, rue Louis Rustin, 74160 Archamps, France;FR
Académie de Toulouse, Toulouse, France;https://openalex.org/W2908399583;;Académie de Toulouse, Toulouse, France;FR
Toulouse, France;https://openalex.org/W2981722774;;Toulouse, France;FR
School of Computational Sciences Korea Institute for Advanced Study Seoul 02455 Korea;https://openalex.org/W3127147744;;School of Computational Sciences Korea Institute for Advanced Study Seoul 02455 Korea;KR
MXM, Sophia Antipolis, France.;https://openalex.org/W2953766078;;MXM, Sophia Antipolis, France.;FR
DEMAR LIRMM, Université Montpellier II - INRIA, 161 rue Ada, 34392, France;https://openalex.org/W1573919399;;DEMAR LIRMM, Université Montpellier II - INRIA, 161 rue Ada, 34392, France;FR
IMAG, Univ Montpellier, CNRS, Montpellier, France.;https://openalex.org/W2769445945;;IMAG, Univ Montpellier, CNRS, Montpellier, France.;FR
